Type      Name                          Path                                              Size (Bytes)   Creation Date       Modification Date   
-------------------------------------------------------------------------------------------------------------------------------------------------
File      spcaframe.h                   C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\spcaframe.h644            2021-02-04 13:27:10 2020-12-23 06:40:26 
File      spcav4l.c                     C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\spcav4l.c32323          2021-02-04 13:27:10 2020-12-23 06:40:26 
File      spcav4l.h                     C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\spcav4l.h5967           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      utils.c                       C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\utils.c33440          2021-02-04 13:27:10 2020-12-23 06:40:26 
File      utils.h                       C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_gspcav1\utils.h3502           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      input_testpicture.c           C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\input_testpicture.c9055           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      Makefile                      C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\Makefile2638           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      testpictures.h                C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\testpictures.h950792         2021-02-04 13:27:10 2020-12-23 06:40:26 
File      160x120_1.jpg                 C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\pictures\160x120_1.jpg3836           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      160x120_2.jpg                 C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\pictures\160x120_2.jpg3889           2021-02-04 13:27:10 2020-12-23 06:40:26 
